Titolo;URL album;URL pubblico;Data da;Data a;Collabora attivo;Modificato;Stato
Corea 2024 - 04 (Hahoe Village);https://photos.google.com/share/AF1QipNj4jOxxGgUTbFG2IZlI6tK9yHdR1E8lQiLm6fatW8ZEz4-MvTaPMoMtGjJ4o8HRw?key=a2pocWV6cm9qR3BxQ1RRc2pSX2p1TldLcXJsODlR;https://photos.app.goo.gl/bUo5X6Cowz26jckj8;07/11/2024;08/11/2024;NO;NO;Condiviso - Collabora disattivato
Corea 2024 - 03 (Andong);https://photos.google.com/share/AF1QipPm7LrieizkJpxJ_kSkqjOrJq1DGvnRayRQO0tbGcm2o8uKXd8fOqEDg0z2aM5NQg?key=YjN6NFRBVkJTTU9sSkZnZTY2ektTWDJJSDNxQmdn;https://photos.app.goo.gl/oBSewrzX5Ac7PZTr8;06/11/2024;07/11/2024;NO;NO;Condiviso - Collabora disattivato
Alto Adige giugno 2024;https://photos.google.com/album/AF1QipPvcqVR3FR9NkJWz837gXkEynW5wQYIOuNjgPfA;;;;;NO;Non condiviso
Vecchie foto scansionate;https://photos.google.com/album/AF1QipMIN55q_VVPdZkXuhvHUXxeqgZwYIlABdYNnl7T;;;;;NO;Non condiviso
Senza titolo;https://photos.google.com/album/AF1QipMISvGyZro4Xv-4tJhNqxOsXr7wzmUfS7WlyHcO;;;;;NO;Non condiviso
Pillole giapponesi;https://photos.google.com/share/AF1QipOt2qFBW-Bm4favGry_1VJw-xYo_QOAZEwElVBIcD9wswfB8FqYBvz4K2MXlqSOHA?key=VGw1Rnp5RlY3ZTJoNWhPNE9fX1BUMzQ0UEpUazNR;https://photos.app.goo.gl/9oMJaeJAUmP9pgPP8;27/10/2023;03/03/2024;;NO;Errore - switch Collabora non trovato
Egitto (novembre 2023);https://photos.google.com/share/AF1QipON62oa2ew3_kvpi2p9q2chgXgqImsmLVePfiij8w_TOSfFtQ88Y5K4JbvXB7ZtVw?key=X0NnN29fbW9GLWU3VEx5MWw0bUFEWFlwY3FlZGdB;https://photos.app.goo.gl/mNEjYrANZP4jLW4d7;16/11/2023;23/11/2023;NO;NO;Condiviso - Collabora disattivato
Calendario 2024;https://photos.google.com/share/AF1QipMmA0HrqmzHG7tM3oUaUUzvcknzhEhmh9g8quL-fwQAquiYm-LxD56jM3FSZkHUQw?key=UXZiTDZ2dmhmVUVqaGRoTTdueFkxVzhYZ3BoQnJ3;https://photos.app.goo.gl/WYW1wA37qMys73mM6;23/04/2023;20/11/2023;NO;NO;Condiviso - Collabora disattivato
Pink Floyd Legend - Atom Heart Mother;https://photos.google.com/album/AF1QipOV2hcgYBx2JzPGlIfv4l4s6-v7D5CveCRuhuIf;;;;;NO;Non condiviso
Stormy weather;https://photos.google.com/album/AF1QipPWeIDnSo7fWvNnroI2PEy-vVukeCzZ8Ll3248Q;;;;;NO;Non condiviso
Val di Fassa & Odle;https://photos.google.com/album/AF1QipNia95uQs1e8qOyc3Yzsw8SB16LIpf-dL878-aM;;;;;NO;Non condiviso
Jan Paul lamps;https://photos.google.com/share/AF1QipOC4L0sCi7fpYnMjugxaXNm2T2seqeHZZ_J5JtJ0E_obusANrK3QdE-zGQu8bFUCQ?key=UjFRMlRqMkc1ZkQ1bVpwX295a0p3azgwOTlHRndB;https://photos.app.goo.gl/zCfZdwArvAVEnKHw6;11/03/2023;13/07/2023;NO;NO;Condiviso - Collabora disattivato
Andalusia 2023 - 14 - Volo di ritorno;https://photos.google.com/album/AF1QipMX6n3sYS_y62rviWbK96VuldDosqbZ_nhLUTuL;;;;;NO;Non condiviso
Andalusia 2023 - 13 - Gibilterra, Estepona, Malaga;https://photos.google.com/album/AF1QipNCajLPSAt7c0t9EteQtS_pW9OiI4cHgo41bTfo;;;;;NO;Non condiviso
Andalusia 2023 - 12 - Los Canos de Meca, Zahaa de los Atunes, Playa de Bolognia, Tarifa;https://photos.google.com/album/AF1QipN40OHQ5Zs5LpPRK4TE5dHfNoB8CcLz6r_aP0qI;;;;;NO;Non condiviso
Andalusia 2023 - 11 - Siviglia, Cadice;https://photos.google.com/album/AF1QipPCMV7Rzsm9XoR0A4uVfDn1RY2SHm3wXNCjLWRX;;;;;NO;Non condiviso
Andalusia 2023 - 10 - Jerex, Carmona, Siviglia;https://photos.google.com/album/AF1QipPlShJZSky6_2wYy8E9_0iD59b8c_fHKnjveSYz;;;;;NO;Non condiviso
Andalusia 2023 - 09 - Setenil de las bodega, Olvera, Arcos de la frontera;https://photos.google.com/album/AF1QipM5YLGDmTOKdEJuUhotdh3mlgpEl5Zun-w5wfjD;;;;;NO;Non condiviso
Andalusia 2023 - 08 - Caminito del Rey, Ronda;https://photos.google.com/album/AF1QipNw8DMvL-ZS3P2h0cmTAmUjDCV6sxhcms5mUHAj;;;;;NO;Non condiviso
Andalusia 2023 - 07 - Alhambra, Monastero di San Geronimo, Basilica di San Giovanni di Dio;https://photos.google.com/album/AF1QipNosVHcppZQCxQKOWmkCrJHJVONL_9xar8hd5o-;;;;;NO;Non condiviso
Andalusia 2023 - 06 - Costa tropical, Granada;https://photos.google.com/album/AF1QipMMeXrWzKN_UdiaKd-Vx8g7gmdH5kIDCzfAswJ7;;;;;NO;Non condiviso
Andalusia 2023 - 05 - Tabernas, Almeria;https://photos.google.com/album/AF1QipMQNT32zwv0Qy51mMMiA3R8RRwGrRfvyDegtKKl;;;;;NO;Non condiviso
